,source,native,name,gprof_all__p_value,gprof_all__minus_log10_p,methods_tested,methods_significant
1018,GO:BP,GO:1902031,regulation of NADP metabolic process,0.0849214582823455,1.0709825566805802,1,0
783,GO:BP,GO:0050665,hydrogen peroxide biosynthetic process,0.2815678705036407,0.550416903716949,1,0
590,GO:BP,GO:0042445,hormone metabolic process,0.349007110359971,0.457165725021784,1,0
134,GO:BP,GO:0006590,thyroid hormone generation,0.5904868766304084,0.2287897499900613,1,0
848,GO:BP,GO:0051604,protein maturation,0.7379425007998588,0.1319774763316755,1,0
853,GO:BP,GO:0051707,response to other organism,0.7764091535184614,0.1099093531147875,1,0
619,GO:BP,GO:0043207,response to external biotic stimulus,0.7863241564697265,0.1043983822755445,1,0
346,GO:BP,GO:0010817,regulation of hormone levels,0.8501596075849869,0.0704995328900358,1,0
105,GO:BP,GO:0005975,carbohydrate metabolic process,0.8854968883654432,0.0528129605812944,1,0
284,GO:BP,GO:0009607,response to biotic stimulus,0.9249720041769788,0.0338714117101028,1,0
