Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CTSE	18.185887201514536	-3.4624549789301615	0.273979518509076	-12.637641666690726	1.3092212775157742e-36	7.410192430739282e-33
TFF1	26.37175011640709	-3.2468817627121562	0.2591239848510208	-12.530224728439936	5.1017908389263826e-36	1.4438068074161664e-32
MUC5AC	17.10128329442014	-4.4287626432873815	0.3654508529722308	-12.118627189587942	8.41569710929966e-34	1.587761521287869e-30
REG4	54.06863400144391	-2.5941007657605515	0.24292404398887626	-10.678649684752235	1.2812167344588582e-26	1.8129216792592843e-23
SULT1C2	11.381741964876088	-3.3275421501297333	0.31337177685183154	-10.61851256535799	2.44424714006401e-26	2.766887762552459e-23
MUC17	22.097578683380643	-2.923760648283727	0.2778161650933487	-10.524083965025278	6.690907449076582e-26	6.311756026962243e-23
S100P	12.668913124942543	-2.314848934701259	0.221579685808798	-10.447026884489544	1.5119067978612891e-25	1.2224846394135567e-22
SERPINB5	6.020927140943578	-2.4743370459905427	0.25673831764185223	-9.637583780704764	5.547841505028958e-22	3.9250978648079874e-19
ANXA1	8.991808695625599	-1.492171507317786	0.18619578835043493	-8.01399172632951	1.1104418197994783e-15	6.983445222294497e-13
GPRC5A	46.42237895185141	-1.290826054451748	0.1636314593202772	-7.888617872222258	3.0555154736796776e-15	1.5722015982751794e-12
CD59	29.417090480903372	-0.7537839775433431	0.09554477491941275	-7.889327052987694	3.0382035024464936e-15	1.5722015982751794e-12
QSOX1	34.450539353147164	-1.031964648653651	0.13563898151561837	-7.608171612043722	2.7800055668679134e-14	1.3112359590393658e-11
ERO1A	16.346030375403274	-1.5115440643472	0.1993873024868312	-7.580944450798375	3.4304846477843053e-14	1.4935802389583976e-11
CD55	16.7832035464952	-1.7574748333006565	0.23806839362384996	-7.3822266221423805	1.5566393187880336e-13	5.901240184321725e-11
BACE2	10.903880696234362	-1.1074895295170408	0.15003371453555897	-7.381604414350206	1.5639329110393266e-13	5.901240184321725e-11
TM4SF1	10.661429285336329	-1.2587293820436016	0.1731532607876878	-7.269452370215511	3.609477603489393e-13	1.2768527022343727e-10
DUOXA2	5.106616737201785	-2.2916910403434567	0.31666985102957684	-7.23684630189002	4.59238076954471e-13	1.5289926562131213e-10
SPNS2	6.8138657189714085	-1.5751464971539197	0.22046445519724986	-7.144673256941279	9.021021030669243e-13	2.8366099463104396e-10
CYP3A5	17.022213881084934	-0.8560911444353788	0.12080536433717814	-7.086532532164341	1.3751390207223592e-12	4.0964667669939754e-10
BAIAP2L1	14.821846982839807	-0.7070960415883721	0.10019843885110775	-7.056956672140354	1.701886597246521e-12	4.816339070207654e-10
PDZK1IP1	6.754448316286791	-1.4458891308922104	0.2062758539923738	-7.009492884929063	2.3918345442452133e-12	6.446563581156146e-10
ANXA3	6.597582065470884	-0.978824640463338	0.13999041996029013	-6.99208303497477	2.7083449538664544e-12	6.967832926765514e-10
CCNG2	9.734434694369352	-0.8744103946779156	0.1271702252441733	-6.875905055597749	6.159751707714911e-12	1.4836506482606598e-09
ME1	5.160187984868026	-1.13742855820804	0.16549477670432497	-6.87289702345219	6.2910981551688754e-12	1.4836506482606598e-09
ADAM9	13.115981688130326	-0.887875938870305	0.12997943454501643	-6.83089553342227	8.438616994821019e-12	1.9105028876274787e-09
NT5E	7.348872587852631	-0.9782855370496218	0.14422455186292651	-6.7830721220018155	1.1764686710528375e-11	2.466226917836689e-09
CD82	5.768702853974472	-1.063301485188015	0.1566427128040048	-6.78806863181975	1.1364459032448921e-11	2.466226917836689e-09
ARFGAP3	6.915643306390335	-0.9968423393815171	0.14723885398096132	-6.770239732444628	1.2856917633046593e-11	2.5989340643944182e-09
TNFRSF21	13.46170668524073	-0.6930484380609877	0.10537101978194831	-6.57722056306527	4.793235049431364e-11	9.35507254475225e-09
LMO7	27.32201290411439	-0.9010144483360799	0.13973849840426733	-6.447861245291332	1.1343954562811268e-10	2.0711865427584446e-08
LAMC2	13.66642995188155	-0.9119233734982082	0.14133410335201033	-6.452252866577775	1.1019949948062538e-10	2.0711865427584446e-08
MLPH	12.867450147557149	-0.7770560266250762	0.1225517528480984	-6.34063576053644	2.2881893605723645e-10	4.0472349315123694e-08
SNX9	12.795444561900746	-0.599928689163874	0.09544779315552734	-6.285411839604511	3.269856829621342e-10	5.608299895653574e-08
ABHD2	26.445314328864104	-1.202380445913123	0.19355331587305918	-6.212140776248428	5.226756779045965e-10	8.683977417814857e-08
SI	11.907059000248092	-1.2813061653273605	0.20639950687440448	-6.207893539721701	5.36995070006219e-10	8.683977417814857e-08
ADGRG6	5.174588677670366	-1.1428490963010787	0.1851343326495807	-6.173080270660791	6.697218748948263e-10	1.0529516144179769e-07
C1orf116	7.7325740418744235	-0.7621802825493518	0.12357464735480543	-6.167772264492026	6.925879442471906e-10	1.059472368767324e-07
APOL1	6.963837359575102	-1.152503646142332	0.18887039577249493	-6.102087314576223	1.0469215325480793e-09	1.5593620721637182e-07
PERP	22.371600387227264	-0.5395334486873578	0.09000179817670842	-5.994696324045043	2.038660422850252e-09	2.9586712803416484e-07
CLDN12	8.083736296351567	-0.7869857466942054	0.13149105502441294	-5.98508960589062	2.1627076550416343e-09	3.0602313318839126e-07
SLC17A5	7.801769188183055	-0.7382882884108961	0.12433127640273434	-5.938073747585683	2.8839032077464188e-09	3.9811932087426176e-07
BHLHE41	5.159376501509985	-0.9072807786996553	0.15295925641329855	-5.931519281501781	3.0014430747361034e-09	4.044801857858654e-07
RHOF	8.971552036198322	-0.7520872888788337	0.1273032990814256	-5.907838165276333	3.466262800171947e-09	4.562569174179818e-07
SQSTM1	34.18120237463273	-0.46131395238970296	0.07859911564990738	-5.869200290299279	4.3790217236422845e-09	5.569604689135943e-07
IL22RA1	7.076921241169852	-0.8020888434127813	0.13670374710781324	-5.867350825286473	4.428130936592181e-09	5.569604689135943e-07
P4HB	60.07068141102452	-0.38005458460376995	0.06520734014725246	-5.828401890730759	5.59606803414888e-09	6.885596755061448e-07
DPP4	6.891692253041784	-0.9152835241795033	0.1571832746460364	-5.823033819855486	5.778885531147885e-09	6.959253639637666e-07
SLC16A3	10.42245159466653	-0.7317023844747693	0.12716266494202746	-5.7540661388965635	8.712204523188185e-09	1.0273141166926068e-06
DHRS9	23.62693324613472	-0.7588777305261711	0.1328224970033944	-5.713472850211341	1.1069354111089339e-08	1.2067157578514042e-06
MYRF	6.108252293132428	-0.9069626417412574	0.1587091690976123	-5.71462031398728	1.0994923585778815e-08	1.2067157578514042e-06
PLIN3	12.139432620480264	-0.6140871897121977	0.10748548130628616	-5.713210586668169	1.1086434524429862e-08	1.2067157578514042e-06
SMAD3	9.323102059251628	-0.6530143794443698	0.11422077112941123	-5.717124591152599	1.0834168186700943e-08	1.2067157578514042e-06
TPM4	45.193615766670526	-0.6294971946477377	0.11055795827309631	-5.693820729691627	1.2422752077266673e-08	1.3266561652326296e-06
CYP2S1	8.728072429323667	-0.8395901281009653	0.14799295714929303	-5.673176239420634	1.4017388809041396e-08	1.4692300122069315e-06
LRP10	33.834676116012204	-0.4770890281161076	0.08432827721113055	-5.65752134271203	1.535747242783385e-08	1.5804235262098108e-06
GALNT5	7.7691790237422556	-0.8654110977482692	0.15319147232293795	-5.649211960858528	1.611850147251182e-08	1.6291199702574447e-06
ATP13A2	7.275631448221677	-0.7104351586290052	0.1270963892601431	-5.589735182601247	2.2741616513966304e-08	2.2582026222640225e-06
UNC13D	6.8791481654525395	-0.7961439277706213	0.14252645768014988	-5.5859378022099175	2.32442422196721e-08	2.2683174304024845e-06
CREB3L1	11.053051026914273	-0.6146920679802695	0.11058196659959597	-5.55870081607425	2.7179012397576796e-08	2.607342545259062e-06
ALDOB	10.13330031840021	-1.611012382972988	0.290271520685908	-5.550018751981544	2.856389580210447e-08	2.6945275039985215e-06
CEACAM6	62.70126926415626	-0.8090120458827504	0.14590870572145967	-5.544645481450283	2.945503465513189e-08	2.733040920459779e-06
DUSP6	8.749649801479507	-0.683764314445184	0.12361849235414453	-5.531246186746263	3.179636942991547e-08	2.902700822150348e-06
SGMS2	5.569433874895646	-0.8033813323387733	0.14538928565175344	-5.525725838306189	3.281261897122345e-08	2.9332525560398616e-06
LDLR	10.01698586543884	-0.9183163936687659	0.16624610658395528	-5.523836994071261	3.3167520068295256e-08	2.9332525560398616e-06
S100A11	16.890462622567483	-0.737508886870746	0.1336270004771651	-5.519160680380425	3.406226328952187e-08	2.966037080287597e-06
CREB3L2	8.35272312381693	-0.6684048171801682	0.12117875993674226	-5.515857874177693	3.470826750279795e-08	2.9764968797853995e-06
EPHA2	6.003401079948361	-0.963978461244676	0.1756782904388172	-5.487180338770414	4.084001434017294e-08	3.450066883065356e-06
TIMP1	8.167112917811904	-0.8897943853223992	0.16265899268765055	-5.470305518435406	4.492604503832296e-08	3.7394325723074697e-06
