Comparison,Test,Chi2,p_value,adj_p_value
1000 vs 5000 genes,Cluster vs Cluster,258.0,2.0383680192070614e-50,6.794560064023538e-50
1000 vs 10000 genes,Cluster vs Cluster,258.0,2.0383680192070614e-50,6.794560064023538e-50
5000 vs 10000 genes,Cluster vs Cluster,258.0,2.0383680192070614e-50,6.794560064023538e-50
10 vs 100 genes,Cluster vs Cluster,215.73147028792022,1.6525065462887105e-41,4.131266365721776e-41
10 vs 1000 genes,Cluster vs Cluster,151.6206993674663,4.07037532463105e-28,5.814821892330072e-28
10 vs 5000 genes,Cluster vs Cluster,151.6206993674663,4.07037532463105e-28,5.814821892330072e-28
10 vs 10000 genes,Cluster vs Cluster,151.6206993674663,4.07037532463105e-28,5.814821892330072e-28
100 vs 1000 genes,Cluster vs Cluster,148.79563743481583,1.5663467564996089e-27,1.5663467564996089e-27
100 vs 5000 genes,Cluster vs Cluster,148.79563743481583,1.5663467564996089e-27,1.5663467564996089e-27
100 vs 10000 genes,Cluster vs Cluster,148.79563743481583,1.5663467564996089e-27,1.5663467564996089e-27
