source	native	name	p_value	term_size	query_size	intersection_size	precision	recall	effective_domain_size	minus_log10_p
GO:BP	GO:1902031	regulation of NADP metabolic process	0.08492145828234555	9	26	2	0.07692307692307693	0.2222222222222222	21026	1.0709825566805802
GO:BP	GO:0050665	hydrogen peroxide biosynthetic process	0.28156787050364074	16	26	2	0.07692307692307693	0.125	21026	0.550416903716949
GO:BP	GO:0042445	hormone metabolic process	0.34900711035997106	244	26	4	0.15384615384615385	0.01639344262295082	21026	0.45716572502178404
GO:BP	GO:0006590	thyroid hormone generation	0.5904868766304084	23	26	2	0.07692307692307693	0.08695652173913043	21026	0.22878974999006135
GO:BP	GO:0051604	protein maturation	0.7379425007998588	539	26	5	0.19230769230769232	0.00927643784786642	21026	0.13197747633167553
GO:BP	GO:0051707	response to other organism	0.7764091535184614	1592	26	8	0.3076923076923077	0.005025125628140704	21026	0.10990935311478754
GO:BP	GO:0043207	response to external biotic stimulus	0.7863241564697265	1595	26	8	0.3076923076923077	0.005015673981191223	21026	0.10439838227554453
GO:BP	GO:0010817	regulation of hormone levels	0.8501596075849869	556	26	5	0.19230769230769232	0.008992805755395683	21026	0.07049953289003583
GO:BP	GO:0005975	carbohydrate metabolic process	0.8854968883654432	561	26	5	0.19230769230769232	0.008912655971479501	21026	0.05281296058129445
GO:BP	GO:0009607	response to biotic stimulus	0.9249720041769787	1634	26	8	0.3076923076923077	0.004895960832313341	21026	0.033871411710102814
GO:BP	GO:0018149	peptide cross-linking	0.943267169958416	29	26	2	0.07692307692307693	0.06896551724137931	21026	0.025365280746285974
GO:BP	GO:0042403	thyroid hormone metabolic process	0.943267169958416	29	26	2	0.07692307692307693	0.06896551724137931	21026	0.025365280746285974
GO:BP	GO:0062012	regulation of small molecule metabolic process	0.974457046337996	320	26	4	0.15384615384615385	0.0125	21026	0.011237299644894375
GO:BP	GO:0019752	carboxylic acid metabolic process	0.9960990526992222	887	26	6	0.23076923076923078	0.006764374295377677	21026	0.0016974729199270057
GO:BP	GO:0046461	neutral lipid catabolic process	1.0	37	26	1	0.038461538461538464	0.02702702702702703	21026	-0.0
GO:BP	GO:0046464	acylglycerol catabolic process	1.0	37	26	1	0.038461538461538464	0.02702702702702703	21026	-0.0
GO:BP	GO:0046457	prostanoid biosynthetic process	1.0	30	26	1	0.038461538461538464	0.03333333333333333	21026	-0.0
GO:BP	GO:0046467	membrane lipid biosynthetic process	1.0	150	26	1	0.038461538461538464	0.006666666666666667	21026	-0.0
GO:BP	GO:0046486	glycerolipid metabolic process	1.0	398	26	1	0.038461538461538464	0.002512562814070352	21026	-0.0
GO:BP	GO:0046456	icosanoid biosynthetic process	1.0	57	26	1	0.038461538461538464	0.017543859649122806	21026	-0.0
GO:BP	GO:0046434	organophosphate catabolic process	1.0	246	26	1	0.038461538461538464	0.0040650406504065045	21026	-0.0
GO:BP	GO:0046496	nicotinamide nucleotide metabolic process	1.0	162	26	2	0.07692307692307693	0.012345679012345678	21026	-0.0
GO:BP	GO:0046632	alpha-beta T cell differentiation	1.0	134	26	1	0.038461538461538464	0.007462686567164179	21026	-0.0
GO:BP	GO:0046631	alpha-beta T cell activation	1.0	193	26	2	0.07692307692307693	0.010362694300518135	21026	-0.0
GO:BP	GO:0046395	carboxylic acid catabolic process	1.0	246	26	1	0.038461538461538464	0.0040650406504065045	21026	-0.0
GO:BP	GO:0046633	alpha-beta T cell proliferation	1.0	48	26	1	0.038461538461538464	0.020833333333333332	21026	-0.0
GO:BP	GO:0046634	regulation of alpha-beta T cell activation	1.0	122	26	2	0.07692307692307693	0.01639344262295082	21026	-0.0
GO:BP	GO:0046635	positive regulation of alpha-beta T cell activation	1.0	74	26	2	0.07692307692307693	0.02702702702702703	21026	-0.0
GO:BP	GO:0046636	negative regulation of alpha-beta T cell activation	1.0	50	26	1	0.038461538461538464	0.02	21026	-0.0
GO:BP	GO:0046637	regulation of alpha-beta T cell differentiation	1.0	80	26	1	0.038461538461538464	0.0125	21026	-0.0
GO:BP	GO:0046638	positive regulation of alpha-beta T cell differentiation	1.0	55	26	1	0.038461538461538464	0.01818181818181818	21026	-0.0
GO:BP	GO:0046639	negative regulation of alpha-beta T cell differentiation	1.0	30	26	1	0.038461538461538464	0.03333333333333333	21026	-0.0
GO:BP	GO:0046640	regulation of alpha-beta T cell proliferation	1.0	45	26	1	0.038461538461538464	0.022222222222222223	21026	-0.0
GO:BP	GO:0046641	positive regulation of alpha-beta T cell proliferation	1.0	25	26	1	0.038461538461538464	0.04	21026	-0.0
GO:BP	GO:0046649	lymphocyte activation	1.0	814	26	2	0.07692307692307693	0.002457002457002457	21026	-0.0
GO:BP	GO:0046503	glycerolipid catabolic process	1.0	64	26	1	0.038461538461538464	0.015625	21026	-0.0
GO:BP	GO:0046394	carboxylic acid biosynthetic process	1.0	320	26	2	0.07692307692307693	0.00625	21026	-0.0
GO:BP	GO:0046352	disaccharide catabolic process	1.0	4	26	1	0.038461538461538464	0.25	21026	-0.0
GO:BP	GO:0046364	monosaccharide biosynthetic process	1.0	91	26	1	0.038461538461538464	0.01098901098901099	21026	-0.0
GO:BP	GO:0045619	regulation of lymphocyte differentiation	1.0	221	26	1	0.038461538461538464	0.004524886877828055	21026	-0.0
GO:BP	GO:0045620	negative regulation of lymphocyte differentiation	1.0	61	26	1	0.038461538461538464	0.01639344262295082	21026	-0.0
GO:BP	GO:0045621	positive regulation of lymphocyte differentiation	1.0	137	26	1	0.038461538461538464	0.0072992700729927005	21026	-0.0
GO:BP	GO:0045622	regulation of T-helper cell differentiation	1.0	48	26	1	0.038461538461538464	0.020833333333333332	21026	-0.0
GO:BP	GO:0045623	negative regulation of T-helper cell differentiation	1.0	21	26	1	0.038461538461538464	0.047619047619047616	21026	-0.0
GO:BP	GO:0045624	positive regulation of T-helper cell differentiation	1.0	25	26	1	0.038461538461538464	0.04	21026	-0.0
GO:BP	GO:0045625	regulation of T-helper 1 cell differentiation	1.0	11	26	1	0.038461538461538464	0.09090909090909091	21026	-0.0
GO:BP	GO:0045627	positive regulation of T-helper 1 cell differentiation	1.0	6	26	1	0.038461538461538464	0.16666666666666666	21026	-0.0
GO:BP	GO:0045628	regulation of T-helper 2 cell differentiation	1.0	12	26	1	0.038461538461538464	0.08333333333333333	21026	-0.0
GO:BP	GO:0045629	negative regulation of T-helper 2 cell differentiation	1.0	5	26	1	0.038461538461538464	0.2	21026	-0.0
