,cluster
SRR3106772,3
SRR3106773,2
SRR3106774,3
SRR3106775,3
SRR3106776,2
SRR3106777,3
SRR3106778,2
SRR3106779,3
SRR3106780,3
SRR3106781,3
SRR3106782,3
SRR3106783,3
SRR3106784,0
SRR3106785,0
SRR3106786,3
SRR3106787,3
SRR3106788,3
SRR3106789,2
SRR3106790,0
SRR3106791,1
SRR3106792,3
SRR3106793,3
SRR3106794,0
SRR3106795,2
SRR3106796,0
SRR3106797,0
SRR3106798,3
SRR3106799,3
SRR3106800,2
SRR3106801,3
SRR3106802,0
SRR3106803,0
SRR3106804,2
SRR3106805,0
SRR3106806,0
SRR3106807,3
SRR3106808,1
SRR3106809,1
SRR3106810,0
SRR3106811,2
SRR3106812,0
SRR3106813,3
SRR3106814,3
SRR3106815,3
SRR3106816,3
SRR3106817,0
SRR3106818,1
SRR3106819,0
SRR3106820,0
SRR3106821,2
SRR3106822,0
SRR3106823,2
SRR3106824,2
SRR3106825,1
SRR3106826,2
SRR3106827,1
SRR3106828,1
SRR3106829,2
SRR3106830,1
SRR3106831,1
SRR3106832,2
SRR3106833,1
SRR3106834,2
SRR3106835,0
SRR3106836,2
SRR3106837,2
SRR3106838,0
SRR3106839,0
SRR3106840,0
SRR3106841,0
SRR3106842,2
SRR3106843,0
SRR3106844,2
SRR3106845,0
SRR3106846,0
SRR3106847,2
SRR3106848,0
SRR3106849,0
SRR3106850,0
SRR3106851,0
SRR3106852,0
SRR3106853,0
SRR3106854,0
SRR3106855,0
SRR3106856,0
SRR3106857,0
