sample	logreg_cluster_10000genes_preds	logreg_cluster_1000genes_preds	logreg_cluster_100genes_preds	logreg_cluster_10genes_preds	logreg_cluster_5000genes_preds
SRR3106772	4	4	4	4	4
SRR3106773	4	4	4	4	4
SRR3106774	4	4	4	4	4
SRR3106775	4	4	4	4	4
SRR3106776	4	4	4	4	4
SRR3106777	2	2	2	4	2
SRR3106778	4	4	4	4	4
SRR3106779	4	4	4	4	4
SRR3106780	4	4	4	4	4
SRR3106781	4	4	4	4	4
SRR3106782	4	4	4	4	4
SRR3106783	4	4	4	4	4
SRR3106784	2	2	2	4	2
SRR3106785	2	2	2	4	2
SRR3106786	4	4	4	4	4
SRR3106787	4	4	4	4	4
SRR3106788	4	4	4	4	4
SRR3106789	1	1	1	1	1
SRR3106790	4	4	4	4	4
SRR3106791	1	1	1	1	1
SRR3106792	4	4	4	4	4
SRR3106793	2	2	2	4	2
SRR3106794	2	2	2	4	2
SRR3106795	4	4	4	4	4
SRR3106796	2	2	2	2	2
SRR3106797	1	1	1	1	1
SRR3106798	4	4	4	4	4
SRR3106799	4	4	4	4	4
SRR3106800	4	4	4	4	4
SRR3106801	4	4	4	4	4
SRR3106802	4	4	4	4	4
SRR3106803	2	2	2	2	2
SRR3106804	1	1	1	1	1
SRR3106805	2	2	2	2	2
SRR3106806	2	2	2	2	2
SRR3106807	3	3	3	3	3
SRR3106808	1	1	1	1	1
SRR3106809	1	1	1	1	1
SRR3106810	2	2	2	2	2
SRR3106811	1	1	1	1	1
SRR3106812	2	2	2	2	2
SRR3106813	3	3	3	3	3
SRR3106814	3	3	3	3	3
SRR3106815	3	3	3	3	3
SRR3106816	3	3	3	2	3
SRR3106817	2	2	2	2	2
SRR3106818	1	1	1	1	1
SRR3106819	2	2	2	2	2
SRR3106820	2	2	2	1	2
SRR3106821	1	1	1	1	1
SRR3106822	2	2	2	2	2
SRR3106823	1	1	1	2	1
SRR3106824	2	2	2	2	2
SRR3106825	1	1	1	1	1
SRR3106826	1	1	1	2	1
SRR3106827	1	1	1	1	1
SRR3106828	1	1	1	1	1
SRR3106829	1	1	1	1	1
SRR3106830	1	1	1	1	1
SRR3106831	1	1	1	1	1
SRR3106832	1	1	1	2	1
SRR3106833	1	1	1	2	1
SRR3106834	1	1	1	1	1
SRR3106835	2	2	2	1	2
SRR3106836	1	1	1	1	1
SRR3106837	1	1	1	2	1
SRR3106838	2	2	2	2	2
SRR3106839	2	2	2	2	2
SRR3106840	2	2	2	1	2
SRR3106841	2	2	2	2	2
SRR3106842	2	2	2	2	2
SRR3106843	2	2	2	1	2
SRR3106844	1	1	1	2	1
SRR3106845	2	2	2	2	2
SRR3106846	2	2	2	2	2
SRR3106847	1	1	1	2	1
SRR3106848	2	2	2	2	2
SRR3106849	2	2	2	2	2
SRR3106850	2	2	2	1	2
SRR3106851	2	2	2	1	2
SRR3106852	2	2	2	2	2
SRR3106853	2	2	2	1	2
SRR3106854	2	2	2	2	2
SRR3106855	2	2	2	2	2
SRR3106856	2	2	2	2	2
SRR3106857	2	2	2	2	2
