cluster	genes	AUC
0	10	0.5837104072398189
1	10	0.7605263157894737
2	10	0.6007575757575757
3	10	0.9509943181818181
0	100	0.8778280542986425
1	100	0.8868421052631578
2	100	0.7636363636363637
3	100	0.9495738636363636
0	1000	0.896210407239819
1	1000	0.9342105263157894
2	1000	0.8041666666666667
3	1000	0.9012784090909092
0	10000	0.9083710407239819
1	10000	0.8881578947368421
2	10000	0.7928030303030303
3	10000	0.9375
0	5000	0.8905542986425339
1	5000	0.9013157894736842
2	5000	0.7431818181818182
3	5000	0.9144176136363636
