gene	log2FC	pval	padj
CTSE	-1.6166506370439018	8.538160985800637e-10	5.13456268558522e-06
REEP3	-0.2741747617002972	6.152895261723521e-10	5.13456268558522e-06
FEZF1-AS1	-0.624021854682788	5.824442260728358e-10	5.13456268558522e-06
TTC9	-0.3143329906557347	8.08592128928977e-10	5.13456268558522e-06
KLK11	-0.5340720832986282	1.809643404564958e-10	5.13456268558522e-06
LRRC8E	-0.19891400810995952	9.51784976319554e-10	5.13456268558522e-06
FAM25A	-0.40176447880354876	1.2471541547558715e-09	5.76684081159115e-06
XKR9	-0.3010037529506352	2.129634485820888e-09	6.2665462760955e-06
S100P	-1.2422793521232398	2.0193388299560165e-09	6.2665462760955e-06
PSCA	-0.6649148105177298	1.914615780440766e-09	6.2665462760955e-06
SRD5A3	-0.3475682974852743	1.8151912186142817e-09	6.2665462760955e-06
PRSS35	-0.2882374278336134	2.775295254751139e-09	7.284294479989379e-06
ZNF200	-0.12461587310826672	2.925600229852383e-09	7.284294479989379e-06
SERPINB8	-0.2840155307116701	4.223463442931137e-09	8.54406654504969e-06
SERPINB5	-1.095400460721477	4.223463442931137e-09	8.54406654504969e-06
STX18	-0.1757810926223491	4.008525281256658e-09	8.54406654504969e-06
HTR1D	-0.5143196733798553	5.477904357867617e-09	9.336723541368431e-06
MYEOV	-0.5137718770602635	5.7691074773655655e-09	9.336723541368431e-06
MSLN	-0.41333839928414196	5.477904357867617e-09	9.336723541368431e-06
RNF39	-0.19091177060885933	5.7691074773655655e-09	9.336723541368431e-06
NXF3	-0.4578617460057526	6.3973786830791166e-09	9.860493010185946e-06
TRNP1	-0.3335198239136328	7.859758758880104e-09	1.0875622963146578e-05
GTF2E2	-0.15251481420262603	8.063981435847686e-09	1.0875622963146578e-05
SULT1C2	-1.4610496449422807	7.466290512000527e-09	1.0875622963146578e-05
SDR16C5	-0.6720291220860397	8.7080914044335e-09	1.1274540103148142e-05
TACSTD2	-0.32930022945997617	9.164998828029006e-09	1.1409718540986265e-05
OTX1	-0.37405719010061556	1.014977467947058e-08	1.216770025278162e-05
CXCL16	-0.3612100721646381	1.1237090891483305e-08	1.29900770705547e-05
SYTL5	-0.4343938525446518	1.3083170248474106e-08	1.4010361831899008e-05
AQP5-AS1	-0.3766566850116641	1.2756246488557074e-08	1.4010361831899008e-05
CCR5AS	-0.133328359081474	1.341822839807431e-08	1.4010361831899008e-05
TRIM29	-0.7830555917372817	1.4474191861043612e-08	1.4640645067445615e-05
GJB5	-0.5665699963957402	1.6833687764790283e-08	1.5567794444878052e-05
BAIAP2L1	-0.4075615717288503	1.6008447810607275e-08	1.5567794444878052e-05
KLHL30	-0.339447737600423	1.641603223871081e-08	1.5567794444878052e-05
REG4	-1.5536373373307644	1.7700181068818093e-08	1.591442946765289e-05
PDZK1IP1	-0.6814411255033188	1.8609921944108568e-08	1.6280160905051517e-05
ARFGAP3	-0.5314473317382398	2.1619990904490323e-08	1.7494896639913568e-05
MUC5AC	-1.7484612838077385	2.0567591978993164e-08	1.7494896639913568e-05
GJC2	-0.2063646340122096	2.1619990904490323e-08	1.7494896639913568e-05
GRHL3	-0.2359824206119735	2.4484850284238597e-08	1.932989351220085e-05
ANXA3	-0.5326821244817954	2.510048728759216e-08	1.9344108869637694e-05
SLC17A5	-0.4276314246922197	2.6377149790877587e-08	1.9403990555252857e-05
NT5E	-0.5394515294345055	2.6377149790877587e-08	1.9403990555252857e-05
MLN	-0.37042617039054593	3.05967663504214e-08	2.1529481157183473e-05
GJB4	-0.4842347733055569	3.05967663504214e-08	2.1529481157183473e-05
TBC1D8	-0.28826544653004094	3.13609477511366e-08	2.1597684187421054e-05
TFF2	-0.683317284706527	3.214363106121933e-08	2.16755218789489e-05
CD59	-0.4667660917070191	3.2945249255752445e-08	2.1762690365514185e-05
TRIM16	-0.2965186187066806	3.5468190541118764e-08	2.2077584450671774e-05
